id,type,area,title,arc_ref,code_module,verify_method,status,release_gated
FR-MODEL-001,FR,MODEL,Project 3D camera-frame points to pixels for every supported camera model,ARC-MODELS,ds_msp/models,tests/contract/test_camera_model_contract.py::test_project_shapes_and_dtypes,implemented,no
FR-MODEL-002,FR,MODEL,Unproject pixels to unit bearing rays for every supported model,ARC-MODELS,ds_msp/models,tests/contract/test_camera_model_contract.py::test_unproject_shapes_and_unit_norm,implemented,no
FR-MODEL-003,FR,MODEL,Provide analytic point and parameter projection Jacobians,ARC-MODELS,ds_msp/models,tests/contract/test_gradcheck.py,implemented,no
FR-MODEL-004,FR,MODEL,Expose all models behind one interchangeable CameraModel contract,ARC-CORE,ds_msp/core/contracts.py,tests/contract/test_camera_model_contract.py::test_satisfies_protocol,implemented,no
FR-MODEL-005,FR,MODEL,Serialize and deserialize model parameters round-trip,ARC-MODELS,ds_msp/models,tests/contract/test_camera_model_contract.py,implemented,no
FR-CALIB-001,FR,CALIB,Calibrate intrinsics and per-view extrinsics for any model via bundle adjustment,ARC-CALIB,ds_msp/calib/bundle.py,tests/calib/test_generic_calibrate.py,implemented,yes
FR-CALIB-002,FR,CALIB,"Robust pose resection / PnP seeding and IRLS refinement, bearing-vector-native across the full sphere for both non-coplanar (DLT, ADR-0018) and coplanar (homography, ADR-0019) targets, with bearing-native IRLS refinement (ADR-0020) and deterministic GNC-TLS as the rig robust seed (ADR-0021)",ARC-GEOMETRY,ds_msp/geometry/resection.py;ds_msp/geometry/bearing.py;ds_msp/rig/pose_init.py,tests/calib/test_robust_init.py;tests/geometry/test_bearing.py;tests/rig/test_pose_irls_bearing_jacobian.py;tests/rig/test_pose_irls_bearing_native.py,implemented,no
FR-CALIB-003,FR,CALIB,Estimate stereo relative pose between two cameras,ARC-CALIB,ds_msp/calib/stereo.py,tests/calib/test_stereo.py,implemented,no
FR-CALIB-004,FR,CALIB,Detect calibration boards (ChArUco / AprilGrid),ARC-DETECT,ds_msp/detect,tests/calib/test_charuco.py,implemented,no
FR-CALIB-005,FR,CALIB,"Detect plain checkerboard boards via cv2.findChessboardCornersSB (Duda & Frese, BMVC 2018), with CALIB_CB_LARGER/CALIB_CB_MARKER configurable; documented as not recommended for extreme fisheye FOV (neither MC-Calib nor Kalibr treat plain checkerboard as fisheye-robust) -- prefer ChArUco/AprilGrid beyond ~120 degrees",ARC-DETECT,ds_msp/detect/checkerboard.py,tests/calib/test_checkerboard.py,implemented,no
FR-CALIB-006,FR,CALIB,"Unify checkerboard / ChArUco (multi-board) / AprilGrid detection behind one Board protocol (detect(image_paths) -> List[Observation]), each natively implemented (no adapter wrapping) and feeding the shared model-agnostic bundle-adjustment backend via calibrate_camera(). Single-camera calibration needs no rigid multi-board fusion (unlike ds_msp.rig): each board sighting -- whichever board, in whichever image -- is its own independent view",ARC-CALIB,ds_msp/calib/board.py;ds_msp/calib/single_camera.py,tests/calib/test_board.py;tests/calib/test_single_camera.py,implemented,no
